datetime,symbol,open,high,low,close,volume
2025-10-30 13:30:00,CRWV,135.51,135.98,134.88,135.43,267285
2025-10-30 13:31:00,CRWV,135.46,135.57,134.85,135.29,47745
2025-10-30 13:32:00,CRWV,135.07,135.2299,132.26,132.34,218090
2025-10-30 13:33:00,CRWV,132.35,132.65,132.14,132.46,175496
2025-10-30 13:34:00,CRWV,132.46,133.8,132.4545,133.625,102587
2025-10-30 13:35:00,CRWV,133.63,134.1099,133.12,133.39,69921
2025-10-30 13:36:00,CRWV,133.36,133.48,132.85,132.85,67997
2025-10-30 13:37:00,CRWV,132.905,133.38,132.82,133.0,39652
2025-10-30 13:38:00,CRWV,132.92,133.91,132.85,133.91,42065
2025-10-30 13:39:00,CRWV,133.82,134.34,133.5004,134.0699,88634
2025-10-30 13:40:00,CRWV,133.935,134.23,132.8,133.16,83205
2025-10-30 13:41:00,CRWV,133.38,133.7399,132.98,133.225,70742
2025-10-30 13:42:00,CRWV,133.14,133.71,132.75,133.485,62379
2025-10-30 13:43:00,CRWV,133.71,133.85,133.31,133.3754,33665
2025-10-30 13:44:00,CRWV,133.42,133.7104,133.14,133.575,32306
2025-10-30 13:45:00,CRWV,133.57,134.12,133.5,133.8712,84080
2025-10-30 13:46:00,CRWV,133.905,134.9584,133.905,134.7582,79992
2025-10-30 13:47:00,CRWV,134.9,135.11,134.55,134.835,74802
2025-10-30 13:48:00,CRWV,134.7101,135.08,134.61,135.08,40124
2025-10-30 13:49:00,CRWV,135.07,135.2,134.6001,134.7,42251
2025-10-30 13:50:00,CRWV,134.86,134.91,134.14,134.395,61886
2025-10-30 13:51:00,CRWV,134.45,134.74,134.2026,134.55,37281
2025-10-30 13:52:00,CRWV,134.55,135.07,134.5,134.97,25277
2025-10-30 13:53:00,CRWV,135.01,135.2,134.7201,134.7201,64344
2025-10-30 13:54:00,CRWV,134.7674,135.4,134.72,135.12,49330
2025-10-30 13:55:00,CRWV,135.06,135.1699,134.85,134.915,35180
2025-10-30 13:56:00,CRWV,134.91,135.49,134.9,135.3551,21496
2025-10-30 13:57:00,CRWV,135.355,135.58,135.06,135.58,49776
2025-10-30 13:58:00,CRWV,135.5,135.65,135.25,135.3485,23583
2025-10-30 13:59:00,CRWV,135.4,135.49,135.0,135.03,34629
2025-10-30 14:00:00,CRWV,135.095,135.75,134.965,135.51,43045
2025-10-30 14:01:00,CRWV,135.4601,135.91,135.46,135.67,30828
2025-10-30 14:02:00,CRWV,135.755,135.9,135.32,135.44,26874
2025-10-30 14:03:00,CRWV,135.5335,136.23,135.4264,136.17,115248
2025-10-30 14:04:00,CRWV,136.0101,136.31,135.56,135.65,29223
2025-10-30 14:05:00,CRWV,135.63,136.25,135.4,136.25,42304
2025-10-30 14:06:00,CRWV,136.2,136.2999,135.65,135.73,31246
2025-10-30 14:07:00,CRWV,135.75,136.07,135.56,135.9,30649
2025-10-30 14:08:00,CRWV,135.915,136.319,135.84,135.9,32069
2025-10-30 14:09:00,CRWV,135.93,136.0999,135.7,135.9104,24766
2025-10-30 14:10:00,CRWV,135.9,135.9,135.5001,135.6,23396
2025-10-30 14:11:00,CRWV,135.6164,135.6992,135.21,135.305,43888
2025-10-30 14:12:00,CRWV,135.2023,135.5,135.06,135.0883,37702
2025-10-30 14:13:00,CRWV,135.08,135.48,134.97,135.355,39324
2025-10-30 14:14:00,CRWV,135.31,135.4725,135.0,135.4725,12511
2025-10-30 14:15:00,CRWV,135.4,137.0299,135.365,136.9,93243
2025-10-30 14:16:00,CRWV,136.95,137.18,136.16,136.4897,72230
2025-10-30 14:17:00,CRWV,136.43,136.43,134.742,134.76,100998
2025-10-30 14:18:00,CRWV,134.8,135.44,134.41,135.44,56557
2025-10-30 14:19:00,CRWV,135.32,135.3399,134.775,134.855,44016
2025-10-30 14:20:00,CRWV,134.75,135.0,134.65,134.7649,21574
2025-10-30 14:21:00,CRWV,134.77,135.18,134.7401,135.09,35261
2025-10-30 14:22:00,CRWV,135.065,135.12,134.7,134.995,25282
2025-10-30 14:23:00,CRWV,134.96,134.97,134.3,134.39,35294
2025-10-30 14:24:00,CRWV,134.32,134.5195,134.24,134.465,38005
2025-10-30 14:25:00,CRWV,134.46,134.52,134.25,134.3127,19268
2025-10-30 14:26:00,CRWV,134.32,134.7396,134.1455,134.6829,39485
2025-10-30 14:27:00,CRWV,134.74,135.2,134.73,135.16,29526
2025-10-30 14:28:00,CRWV,135.125,135.2973,134.85,135.13,14656
2025-10-30 14:29:00,CRWV,135.165,135.1846,134.8401,134.9801,16712
2025-10-30 14:30:00,CRWV,134.9801,135.36,134.78,135.02,31592
2025-10-30 14:31:00,CRWV,135.02,135.38,134.8,134.985,36048
2025-10-30 14:32:00,CRWV,135.07,135.24,134.8,134.86,17508
2025-10-30 14:33:00,CRWV,134.79,135.0,134.24,134.2613,28900
